Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,BWH,BWD,BWA,IWH,IWD,IWA,,,
E0,30-01-2019,Bournemouth,Chelsea,4,0,H,0,0,D,R East,12,11,7,7,8,6,3,7,1,0,0,0,5.5,4.1,1.6,5.2,3.9,1.65,,,
E0,30-01-2019,Liverpool,Leicester,1,1,D,1,1,D,M Atkinson,10,5,3,2,13,6,7,1,1,3,0,0,1.22,6.5,13,1.22,6.5,12.5,,,
E0,30-01-2019,Southampton,Crystal Palace,1,1,D,0,1,A,A Marriner,13,15,4,3,11,8,3,8,2,2,0,1,2.3,3.3,3.2,2.3,3.3,3.15,,,
E0,30-01-2019,Tottenham,Watford,2,1,H,0,1,A,G Scott,17,9,3,1,6,9,9,5,0,4,0,0,1.65,3.9,5.25,1.63,4,5.3,,,
E0,02-02-2019,Brighton,Watford,0,0,D,0,0,D,S Hooper,21,5,4,0,15,10,7,0,1,0,0,0,2.45,3.3,2.95,2.55,3.2,2.9,,,
E0,02-02-2019,Burnley,Southampton,1,1,D,0,0,D,A Taylor,15,10,6,4,10,9,4,2,3,1,0,0,2.5,3.3,2.85,2.55,3.25,2.85,,,
E0,02-02-2019,Cardiff,Bournemouth,2,0,H,1,0,H,J Moss,12,9,5,2,17,14,6,7,1,2,0,0,3,3.4,2.35,3.1,3.4,2.3,,,
E0,02-02-2019,Chelsea,Huddersfield,5,0,H,2,0,H,P Tierney,23,5,7,2,8,5,11,2,0,0,0,0,1.17,7.5,16.5,1.17,7.5,15,,,
E0,02-02-2019,Crystal Palace,Fulham,2,0,H,1,0,H,M Oliver,17,8,6,0,9,12,11,1,2,3,0,0,2,3.5,3.8,2,3.45,3.75,,,
E0,02-02-2019,Everton,Wolves,1,3,A,1,2,A,L Mason,13,8,4,4,12,14,3,1,3,1,0,0,2.3,3.3,3.2,2.35,3.3,3.1,,,
E0,02-02-2019,Tottenham,Newcastle,1,0,H,0,0,D,A Marriner,21,8,4,2,6,6,6,3,0,1,0,0,1.42,4.5,8.25,1.4,4.8,7.6,,,
E0,03-02-2019,Leicester,Man United,0,1,A,0,1,A,M Dean,17,10,6,6,14,9,7,2,4,4,0,0,3.7,3.4,2.05,3.4,3.5,2.1,,,
E0,03-02-2019,Man City,Arsenal,3,1,H,2,1,H,M Atkinson,19,4,12,2,11,8,4,2,1,1,0,0,1.3,6,8.75,1.35,5.3,8,,,
E0,04-02-2019,West Ham,Liverpool,1,1,D,1,1,D,K Friend,13,11,2,6,9,11,2,5,1,1,0,0,7.75,5.25,1.36,7.5,4.8,1.4,,,
